cpu power (w),gpu power (w),battery percentage,power plugged,system uptime (hours),energy use (kwh/year),grid carbon intensity (kg co2/kwh),operational emissions (kg co2),manufacturing emissions (kg co2),disposal emissions (kg co2),operational emissions,total estimated emissions
6.890000000000001,4.57,100,1,11.29,1133.008,0.207,0.027,100,20,234.532656,354.532656
8.27,2.65,100,1,11.29,1079.944,0.207,0.026,100,20,223.54840799999997,343.548408
9.14,2.3,100,1,11.29,1131.698,0.207,0.027,100,20,234.26148600000002,354.261486
8.42,1.9,100,1,11.3,1021.197,0.207,0.024,100,20,211.387779,331.387779
13.1,2.27,100,1,11.3,1521.348,0.207,0.036,100,20,314.91903599999995,434.91903599999995
12.8,2.54,100,1,11.3,1518.815,0.207,0.036,100,20,314.394705,434.394705
13.25,2.69,100,1,11.31,1578.68,0.207,0.037,100,20,326.78676,446.78676
6.59,2.41,100,1,11.31,891.608,0.207,0.021,100,20,184.56285599999998,304.562856
6.529999999999999,4.7,100,1,11.31,1112.853,0.207,0.026,100,20,230.360571,350.360571
10.97,2.19,100,1,11.32,1304.488,0.207,0.031,100,20,270.029016,390.029016
